,,SCENE 1
???,neutral,About time you noticed! Here I was wondering if you were gonna watch grass grow all morning... 
Alonso,neutral,Cynthi... 
Alonso,neutral,the sun’s only been out for a few minutes, aren’t you supposed to be busy crowing to wake everyone up? Maybe circling over some carrion?
Cynthi ,neutral,Ha Ha. Hilarious, doofus. Maybe spend a little less time thinking about birds and a little more timedigging the wax outta those...
Cynthi ,neutral,ears.
Cynthi ,neutral,This soil is putrid, the dew point around here is constantly fluctuating, and the humidity is gonna eat away at those plants’ caudex turning them all goopy,but you’d KNOW all that if you ever bothered to show up to—
Cynthi ,sad,I...
Cynthi ,sad,listen… 
Cynthi ,sad,forget all that...
Cynthi ,sad,Is this all for...
Cynthi ,sad,Her?
Alonso,sad,Yeah. It’s for her. Pineberries were always her favorite. I guessed...
Alonso,sad,well, I just figured… 
Alonso,sad,if she was...
Alonso,sad,if she ever...
Alonso,sad,you know...
Alonso,sad,they’d be here for her. I know, I know it’s dumb—
Cynthi,angry ,Dumb!? Dumb?! Listen, pal, you know as well as I do, if anyone could survive out there,(points at forest) 
Cynthi,angry ,It's her! 
Cynthi,neutral,So, uh, why don’t we hold off on the whole past tensing her just yet, huh buddy?
Alonso,neutral,Alright, alright I get it, just please, fix your face.
Cynthi,happy,See! There’s the dummy I know—
Cynthi,neutral,Now get those seeds outta the ground before I give your face a the plot of dirt right next to em... 
Alonso,neutral,I’m going, I’m going...
Alonso,neutral,did you really come all the way down here just to give me a lecture on seed ethics, or are you just that nosy?
Cynthi,happy,OOPS!!! I almost forgot!! I caught up with your mom by the greenhouse; she said she finished taking a look at your invention! She’s probably waiting for us back at the institute so let’s get moving.
